username,followers,avg_views,avg_likes,avg_comments,growth_30d,niche
glowwithmaya,185000,72000,6800,210,0.24,beauty
skincarebyelle,92000,41000,4300,120,0.18,beauty
lipcombo.lab,56000,29000,3100,95,0.21,beauty
makeupbynina,245000,52000,3900,78,0.05,beauty
cleanbeautycasey,74000,38000,3600,134,0.17,beauty
dewydiary,132000,45000,4200,140,0.11,beauty
beautywithrae,480000,83000,2900,40,0.03,beauty
softglamjules,67000,34000,3700,110,0.15,beauty
drugstoreglow,118000,51000,5400,150,0.2,beauty
perfumeandpowder,39000,19000,2100,70,0.12,beauty
beautybriefing,205000,64000,5200,132,0.14,beauty
mirrorcheckmia,81000,26500,1800,44,0.04,beauty
