username,followers,avg_views,avg_likes,avg_comments,growth_30d,niche
trainwithivy,215000,88000,9200,260,0.22,fitness
fitcoremax,132000,61000,5700,170,0.16,fitness
wellnesswithzoe,97000,47000,4200,145,0.19,fitness
gymtokgrant,410000,99000,4300,66,0.04,fitness
pilatesbylina,78000,39000,4100,130,0.18,fitness
workoutsnacks,52000,25000,1900,58,0.09,fitness
musclewithmike,365000,71000,3500,52,0.03,fitness
stepcountsam,61000,33500,3200,104,0.14,fitness
strengthwithani,148000,76000,7100,230,0.23,fitness
fitbudgetbella,89000,42000,3800,118,0.15,fitness
bodyrecompjay,166000,54000,3000,82,0.08,fitness
mobilitywithemma,44000,21000,2250,74,0.17,fitness
